ID	Tasks	Status	Timestamp
1	Auftragsklärung	Done	04 Mar 23 10:04 +0100
2	Ziele	Done	04 Mar 23 10:04 +0100
3	Strukturplan	Done	10 Mar 23 15:36 +0100
4	Projektablaufplanung	Done	04 Mar 23 10:05 +0100
5	Ideensammlung	Done	04 Mar 23 10:05 +0100
6	Varianten	Done	10 Mar 23 15:36 +0100
7	Kriterien der Varianten	Done	18 Mar 23 13:09 +0100
8	Ausgestaltung	Done	10 Mar 23 15:37 +0100
9	Test	Done	10 Mar 23 15:37 +0100
10	Auswertung der Ziele	Done	10 Mar 23 15:35 +0100
11	Präsentation	Done	20 Mar 23 20:25 +0100
12	Anleitung	Done	20 Mar 23 20:25 +0100
